agent,cost_bps,cost_value,seed,test_return,test_return_std,test_sharpe,test_max_dd,test_turnover,train_time_sec,model_path
Q-Learning,2.5bps,0.00025,42,1.1049363276762092,11.740741707517985,12.456864272356794,21.713990545465865,95.89803921568628,1327.4102892875671,stability_study/models/q_learning_cost2.5bps_seed42.pkl
Double-Q,2.5bps,0.00025,42,-0.08376264899271346,4.240695103693048,-2.6144497746272437,8.331326436314901,96.51764705882353,1312.12739610672,stability_study/models/double_q_cost2.5bps_seed42.pkl
UCB-Q,2.5bps,0.00025,42,2.0466598992689544,10.887852544064634,24.881150656640123,11.414012924473994,94.94117647058823,1956.744884967804,stability_study/models/ucb_q_cost2.5bps_seed42.pkl
Q-Learning,2.5bps,0.00025,123,3.0802192833041753,9.965762157742649,40.910814365962665,13.401023145445844,96.59607843137255,1306.4852769374847,stability_study/models/q_learning_cost2.5bps_seed123.pkl
Double-Q,2.5bps,0.00025,123,0.7154695312941106,2.800355465741729,33.8177630776478,4.963268857710945,95.2470588235294,1275.9957768917084,stability_study/models/double_q_cost2.5bps_seed123.pkl
UCB-Q,2.5bps,0.00025,123,3.4162670330375455,12.066382011453108,37.47500973759455,16.8517944832034,95.13725490196079,1925.6102721691132,stability_study/models/ucb_q_cost2.5bps_seed123.pkl
Q-Learning,2.5bps,0.00025,456,4.811941532283992,13.251380638485417,48.06469943939967,18.387444422588363,95.37254901960783,1277.4366610050201,stability_study/models/q_learning_cost2.5bps_seed456.pkl
Double-Q,2.5bps,0.00025,456,0.6950183886195394,4.779081373267556,19.24947236925135,11.557670895404936,96.64313725490196,1259.7631168365479,stability_study/models/double_q_cost2.5bps_seed456.pkl
UCB-Q,2.5bps,0.00025,456,1.3623517041232214,9.51429820471267,18.95306645159804,16.615423322288304,96.07843137254903,1882.6408987045288,stability_study/models/ucb_q_cost2.5bps_seed456.pkl
Q-Learning,25bps,0.0025,42,-1.555154670594372,9.831119490496713,-20.938116942493522,15.523631661206206,95.46666666666665,1275.737340927124,stability_study/models/q_learning_cost25bps_seed42.pkl
Double-Q,25bps,0.0025,42,-3.005563865902905,2.76456177896804,-143.9019089590253,13.087140731874037,94.17254901960781,1293.9308671951294,stability_study/models/double_q_cost25bps_seed42.pkl
UCB-Q,25bps,0.0025,42,-1.373161216831642,12.964108435238764,-14.019931487410844,16.185121778668055,95.34901960784313,1930.7969999313354,stability_study/models/ucb_q_cost25bps_seed42.pkl
Q-Learning,25bps,0.0025,123,0.3041709510930968,12.73379359920497,3.1617457714884623,20.220083993926107,96.25098039215685,1281.8669657707214,stability_study/models/q_learning_cost25bps_seed123.pkl
Double-Q,25bps,0.0025,123,-2.096933709756754,2.850515002872573,-97.37069475694112,12.665351357845822,92.20392156862745,1306.0071921348572,stability_study/models/double_q_cost25bps_seed123.pkl
UCB-Q,25bps,0.0025,123,0.3535154862276402,10.495465201836822,4.458345897799496,16.36688050266222,95.34901960784315,1971.4860570430756,stability_study/models/ucb_q_cost25bps_seed123.pkl
Q-Learning,25bps,0.0025,456,-1.7854056108908778,8.556196829099965,-27.61996531042543,13.946416438003572,96.24313725490195,1299.1876122951508,stability_study/models/q_learning_cost25bps_seed456.pkl
Double-Q,25bps,0.0025,456,-2.4713270635707385,3.9916874482356044,-81.94843024165593,12.482323977314003,95.32549019607842,1291.3217549324036,stability_study/models/double_q_cost25bps_seed456.pkl
UCB-Q,25bps,0.0025,456,-1.610128251786913,6.803751453798718,-31.324129971537626,18.476532399711452,93.81176470588234,1935.5555391311646,stability_study/models/ucb_q_cost25bps_seed456.pkl
Q-Learning,50bps,0.005,42,-2.7464268065645947,12.702593533677318,-28.61822175898983,18.86728223190698,95.49019607843137,3104.8609709739685,stability_study/models/q_learning_cost50bps_seed42.pkl
Double-Q,50bps,0.005,42,-3.505812587984247,5.3838548937300414,-86.19107950808579,13.861774508314994,89.5843137254902,1385.722897052765,stability_study/models/double_q_cost50bps_seed42.pkl
UCB-Q,50bps,0.005,42,-5.856157860175825,8.16248680867161,-94.96362414282336,26.94979441861294,92.66666666666666,2008.5322659015656,stability_study/models/ucb_q_cost50bps_seed42.pkl
Q-Learning,50bps,0.005,123,-5.803640255481346,12.04500319133885,-63.776485025019255,22.85637486103057,95.56078431372549,1260.8663668632507,stability_study/models/q_learning_cost50bps_seed123.pkl
Double-Q,50bps,0.005,123,-3.743669276500383,4.416021729610279,-112.21042987157466,14.831032185841487,91.13725490196079,1259.8638169765472,stability_study/models/double_q_cost50bps_seed123.pkl
UCB-Q,50bps,0.005,123,-5.004432736432163,10.134975756934871,-65.35805962818488,26.18838320909812,92.38431372549017,1894.3784682750702,stability_study/models/ucb_q_cost50bps_seed123.pkl
Q-Learning,50bps,0.005,456,-3.770306405390922,12.104414257326676,-41.22872291968806,26.659881654957662,95.44313725490196,1259.7748639583588,stability_study/models/q_learning_cost50bps_seed456.pkl
Double-Q,50bps,0.005,456,-6.688973475547943,5.082070962798857,-174.21506780945668,19.63665798750328,94.97254901960785,1272.217187166214,stability_study/models/double_q_cost50bps_seed456.pkl
UCB-Q,50bps,0.005,456,-7.446160143584879,7.714894390048714,-127.75249233508036,25.123925170998284,95.89803921568625,1934.7072949409485,stability_study/models/ucb_q_cost50bps_seed456.pkl
